Age_1,Year
1834452471,1968
172638167.8,1969
231627800.4,1970
91460435.56,1971
110913385.8,1972
253455062.8,1973
376458451.8,1974
448249848.8,1975
206511192,1976
69311952.69,1977
55230259.85,1978
186971092.6,1979
110796613,1980
230211914.4,1981
360019025.4,1982
524294142.6,1983
96988646.31,1984
218919580,1985
170133441.4,1986
141540216,1987
341673730.4,1988
461257675.3,1989
202380794.8,1990
240225121.5,1991
183932703.3,1992
44463679.74,1993
182758516.2,1994
210802950,1995
143107169.2,1996
174924675.6,1997
72679164.28,1998
100947709.3,1999
483207156.2,2000
84700394.31,2001
92524245.88,2002
196132857.5,2003
259461878.8,2004
124042599.5,2005
198059606.3,2006
61847664.48,2007
167966373.2,2008
153874707.8,2009
37810554.64,2010
77942994.48,2011
49252388.39,2012
46604904.87,2013
72621335.14,2014
82323356.6,2015
95181709.04,2016
