YEAR,MONTH,cond_k
1973,06,1.1258510061113316
1973,09,1.060462545765129
1974,06,1.1604599259386752
1974,09,0.9149825708466599
1975,06,1.1408434781852135
1975,09,1.1359460348414356
1976,06,1.1658395424910275
1976,09,1.0820426792081823
1977,06,1.1649142191860735
1978,06,1.1619197439836642
1978,09,1.0947279244974402
1979,06,1.1817833277843672
1979,09,1.0240250189393985
1980,06,1.2171184891910367
1980,09,1.164673107122694
1981,06,1.1648338024109652
1982,06,1.189955785837203
1983,06,1.1272601556075508
1983,09,1.1921214014068664
1984,06,NA
1984,09,NA
1985,06,NA
1985,09,NA
1986,06,NA
1986,09,1.1150446882581484
1987,06,1.0778929234226342
1987,09,1.1998068208820651
1988,06,1.1139734182057508
1988,09,1.2362874525009653
1989,06,NA
1989,09,NA
1990,06,1.0988070029265236
1990,09,1.1913108682362583
1991,06,1.0698531966154927
1991,09,NA
1992,06,1.0810312978689203
1992,09,1.1058875960850645
1993,06,1.097860000734033
1993,09,1.0981718617817091
1994,06,1.0534338768622962
1994,09,NA
1995,06,1.0882656930110868
1995,09,1.1936973473237658
1996,06,1.0639943426219152
1996,09,1.2068872999940696
1997,06,1.096892970467136
1997,09,1.249993705905633
1998,06,1.0909838157855651
1998,09,1.163303899966181
1999,06,NA
1999,09,NA
2000,06,1.066271993284725
2000,09,1.1703013410291696
2001,06,1.1312832677868645
2001,09,1.179652107541404
2002,06,1.0659841700193289
2002,09,1.176268785644029
2003,06,1.0981894342686416
2003,09,1.195340427606399
2004,06,1.0645407261106419
2004,09,1.0853114407306879
2005,06,1.0801389911681563
2005,09,1.1674895676481152
2006,06,1.1313251937621822
2006,09,1.1711598874968692
2007,06,1.1239599975782957
2007,09,1.237148062084648
2008,06,1.1171724747810547
2008,09,1.142540886961611
2009,06,1.1564653551302122
2009,09,1.1468204621742037
2010,06,1.1074742989029223
2010,09,1.231250757434944
2011,06,1.1800486149446676
2011,09,1.0818087433144443
2012,06,NA
2012,09,1.1379495281078098
2013,06,1.052846926265659
2013,09,1.0295594745560468
2014,06,1.125295908577559
2014,09,1.0381541807274945
2015,06,1.1221830046710082
2015,09,0.9770761766223138
2016,06,1.0536815742277408
2016,09,1.0026308323034219
2017,06,1.092355295069644
2017,09,0.9258103048024557
