year,ssb
1968,269899.03
1969,298979.11
1970,244368.78
1971,225483.39
1972,282634.13
1973,205828.44
1974,202520.12
1975,207649.94
1976,229057.49
1977,335365.40
1978,471026.21
1979,488114.64
1980,427207.88
1981,320753.61
1982,288053.58
1983,298223.19
1984,339850.79
1985,530074.32
1986,676300.09
1987,557032.61
1988,527098.62
1989,475465.58
1990,509403.01
1991,553740.32
1992,455925.04
1993,385218.81
1994,258452.39
1995,157351.11
1996,111192.03
1997,93778.42
1998,83405.10
1999,70529.19
2000,91943.41
2001,134849.47
2002,159533.69
2003,170732.02
2004,136138.95
2005,110084.88
2006,111501.32
2007,102233.60
2008,72155.66
2009,70491.53
2010,53220.69
2011,28976.01
2012,19666.46
2013,33529.92
2014,38810.16
2015,32977.64
2016,39962.52
