record,vertice,latitude,longitude
1,1,45.78,-60.25
1,2,46.625,-60.35
1,3,47.0333,-60.4583
1,4,47.0333,-60.6
1,5,46.45,-61
1,6,45.5833,-61.5667
1,7,45.9167,-64
1,8,46.1167,-63.7833
1,9,46.2333,-64.5833
1,10,47.3,-64.9333
1,11,47.3,-64.9333
1,12,47.8817,-64.59
1,13,47.67,-65.6
1,14,47.9667,-66.1667
1,15,48.1167,-66.1667
1,16,48.1167,-65
1,17,48.5,-64.2167
1,18,48.85,-64.2167
1,19,48.8333,-67.2167
1,20,49,-67.2167
1,21,48.3333,-69
1,22,48.1667,-69.3333
1,23,48.1667,-69.5833
1,24,48.6667,-69
1,25,49,-68.5
1,26,49.29,-67.34
1,27,49.5,-67.2167
1,28,49.5,-67.2167
1,29,50.1833,-66.6833
1,30,50.2833,-64
1,31,50.2333,-60.6333
1,32,51.4333,-57.9
1,33,51.3167,-56.9167
1,34,51.2833,-56.6833
1,35,48.4667,-59.2833
1,36,47.8033,-59.3583
1,37,47.5833,-59.0167
1,38,47.53,-59.15
1,39,47.3,-58.46
1,40,47.08,-58.12
1,41,46.9,-57.85
1,42,46.54,-57.55
1,43,46.49,-57.38
1,44,45,-56.02
1,45,44.51,-56.09
1,46,44.45,-57.06
1,47,43.91,-58.88
1,48,43.9,-58.97
1,49,43.3,-61
1,50,43.01,-61.82
1,51,42.96,-62.2
1,52,42.91,-62.77
1,53,42.79,-63.85
1,54,42.73,-64.23
1,55,42.42,-64.95
1,56,42.8,-65.18
1,57,42.82,-65.55
1,58,43.16,-65.6
1,59,43.4,-65.61
1,60,43.71,-64.97
1,61,44.55,-63.25
1,62,45.02,-61.73
2,1,52,-55.25
2,2,52,-54.35
2,3,52,-50.9
2,4,50.35,-50.5
2,5,48.75,-49.95
2,6,48.1,-46.95
2,7,48.12,-46.1
2,8,48.5,-45.2
2,9,48.07,-43.9
2,10,46.98,-43.48
2,11,46.29,-44.76
2,12,45.92,-46.71
2,13,45.83,-47.21
2,14,44.76,-48.52
2,15,42.85,-48.55
2,16,42.62,-50.35
2,17,42.55,-50.82
2,18,43.63,-52.77
2,19,44.63,-54.65
2,20,44.51,-56.09
2,21,45,-56.02
2,22,46.49,-57.38
2,23,46.54,-57.55
2,24,46.9,-57.85
2,25,47.08,-58.12
2,26,47.3,-58.46
2,27,47.53,-59.15
2,28,47.57,-58.67
2,29,47.21,-57.3
2,30,47.37,-57.02
2,31,47.35,-56.3
2,32,46.84,-56.9
2,33,46.58,-56.15
2,34,46.7,-55.87
2,35,46.79,-54.44
2,36,46.43,-54.5
2,37,46.51,-52.88
2,38,46.51,-52.88
2,39,47.83,-52.55
2,40,48.62,-53
2,41,50,-54
2,42,49.8,-55
2,43,50.33,-56.3
2,44,51.3,-55.25
