"station","year","dw2_S","ww2_T"
"BBL",1999,,-0.250890697612913
"BBL",2000,,1.08285800985198
"BBL",2001,1.50764775921774,1.94959779881449
"BBL",2002,1.30849950583954,0.584512316533343
"BBL",2003,1.14413550754122,1.45858351115007
"BBL",2004,-0.561726392042242,-0.46863704160887
"BBL",2005,-0.507376815013748,-1.80126610234591
"BBL",2006,0.423827694557438,-0.347569522956198
"BBL",2007,-0.028250210283954,0.0231796517029145
"BBL",2008,0.542867460974255,1.23882305186226
"BBL",2009,0.0198482585072807,-0.217853069394383
"BBL",2010,-1.57406380082803,0.526958908586137
"BBL",2011,-1.37707359851881,-1.09403126966293
"BBL",2012,-0.54665872562025,-0.578759883286867
"BBL",2013,-0.335622369283822,-0.625151012389976
"BBL",2014,1.19023637094267,-0.863999430261455
"BBL",2015,-1.20629064598928,-0.616355218981689
"BBL",2016,-0.26971707513595,-1.3242625027539
"BBL",2017,-0.633148438705138,-0.828263789587885
"BBL",2018,-1.21398803864457,-1.61848380735108
"BBL",2019,-0.652410831329341,-1.18926840018112
"CSL",1999,,1.38418243968765
"CSL",2000,,1.33014021141365
"CSL",2001,0.274177466303928,0.669875371793705
"CSL",2002,-0.120081947043849,0.674005946394603
"CSL",2003,1.33003127265203,0.299982748472207
"CSL",2004,2.08369625008121,1.09582833994135
"CSL",2005,-0.286625862651728,-0.296746205452307
"CSL",2006,0.573629675358761,0.714211041541035
"CSL",2007,0.707767391472954,0.573084786969063
"CSL",2008,-0.364060686012465,-0.273563638191397
"CSL",2009,0.256869402698348,0.523787902755467
"CSL",2010,-0.748535934199007,-1.02592575852942
"CSL",2011,-1.61703730193497,-1.93770535166674
"CSL",2012,-0.326282607053158,-0.524967840156199
"CSL",2013,0.558529352275301,-0.608615492932418
"CSL",2014,-0.714148415927409,-1.20333976441271
"CSL",2015,-1.60792805601995,-1.39423473762753
"CSL",2016,-1.40879038041308,-1.11126473434017
"CSL",2017,-1.11071866740772,-0.539145291087539
"CSL",2018,-1.01328477597714,-0.480192133761249
"CSL",2019,-0.807740874385911,0.383153944232731
"HL",1999,-1.08398307032523,-0.319295111460437
"HL",2000,-0.308794353869407,0.0979003917807368
"HL",2001,1.54196740223562,2.05730755063829
"HL",2002,-1.5190815559799,-1.98049104113667
"HL",2003,2.90969679826931,0.749039426105019
"HL",2004,0.169463533302465,0.0953492772077163
"HL",2005,0.471346360636194,-0.475861503378622
"HL",2006,-0.0282550163109369,0.396943400222172
"HL",2007,-0.157098547676376,0.622758841863557
"HL",2008,0.287218126713433,0.468482699754909
"HL",2009,-0.254938526767464,1.14505420336316
"HL",2010,-0.471689472818841,-0.477885472909891
"HL",2011,0.146997418062379,-0.368485767799518
"HL",2012,-0.277343503226948,-2.08301677885543
"HL",2013,-0.79735710906351,-0.189842609067968
"HL",2014,-0.307542486329828,0.340192183841913
"HL",2015,-0.32060599685097,-0.0781496901689417
"HL",2016,-0.378696513707558,0.548397291861512
"HL",2017,0.388116161037044,0.783710531869331
"HL",2018,-0.819467964472171,-1.09741664828247
"HL",2019,-0.680388189299974,-0.217171782573095
"LL",1999,,-0.424904494264469
"LL",2000,,-1.2698981426436
"LL",2001,1.52381653799799,2.50829499937366
"LL",2002,-0.306733834230791,1.37740599978173
"LL",2003,0.202739494145361,0.895653465039208
"LL",2004,0.521850356360697,0.485963596051948
"LL",2005,-0.183510942250264,-0.564889509313868
"LL",2006,-0.607803154456722,-0.411471489575011
"LL",2007,-0.879978175581922,0.0925020747962804
"LL",2008,-0.169701584633556,0.137053759051337
"LL",2009,-0.439506763436869,0.682756113013666
"LL",2010,1.62485005702553,0.326722188535798
"LL",2011,-0.796849281151624,-0.469817540029847
"LL",2012,-0.500633693959134,-0.162183026280793
"LL",2013,-1.15525681819281,-1.19518724283977
"LL",2014,2.054763833932,-0.688185934159415
"LL",2015,-0.888046031567885,-1.31981481653686
"LL",2016,-0.623019239431362,-0.339813212752888
"LL",2017,-0.599624065931023,-0.758171114132315
"LL",2018,0.466153577254493,-0.523761228726088
"LL",2019,-0.457123438327421,-0.904051103596669
"P5",1999,-1.32214123609028,-1.30588035518308
"P5",2000,-0.292953815145511,2.23688925435448
"P5",2001,2.5725086911061,1.79974650952835
"P5",2002,-0.672998612452785,0.0910161268325447
"P5",2003,-0.0308495432722975,-0.539924833494403
"P5",2004,-0.755865555836129,-0.713715469459125
"P5",2005,1.36157802280455,-0.294373234810209
"P5",2006,0.73925549416,0.204688935268002
"P5",2007,-1.23406917764446,-1.39936274764662
"P5",2008,-0.36699339729584,-0.592348013449219
"P5",2009,1.00721302777815,0.745655731953372
"P5",2010,-0.329288253637647,-0.438129705766646
"P5",2011,-0.549574871327698,-0.647334183968403
"P5",2012,0.822035640294235,-0.0222650562236757
"P5",2013,-0.189307916885831,-0.216845270955806
"P5",2014,-0.236297978053422,-0.158936196998137
"P5",2015,-0.522250518501137,1.25111851001857
"P5",2016,1.06539945182727,0.946538574669635
"P5",2017,-0.471248882281178,-0.310655588747435
"P5",2018,-0.403751595440158,-1.05019663757523
"P5",2019,0.357372038592573,0.256973139941302
